"","V1","V2"
"X1_16923537",1,42.502
"loc43",1,43
"X1_17203021",1,43.493
"loc44",1,44
"loc45",1,45
"loc46",1,46
"X1_17775164",1,46.721
"loc47",1,47
"X1_18059668",1,47.977
"loc48",1,48
"X1_18352147",1,48.931
"loc49",1,49
"X1_18659070",1,49.788
"loc50",1,50
"X1_18926903",1,50.352
"loc51",1,51
"X1_19240146",1,51.496
"loc52",1,52
"X1_19529287",1,52.543
"loc53",1,53
"X1_19800653",1,53.291
"loc54",1,54
"X1_20108938",1,54.325
"X1_20380110",1,54.603
"loc55",1,55
"X1_20668556",1,55.197
"X1_20964571",1,55.601
"X1_21251788",1,55.904
"loc56",1,56
"X1_21551115",1,56.275
"loc57",1,57
"X1_22152521",1,57.347
"loc58",1,58
"X1_22412767",1,58.632
"X1_22723886",1,58.823
"loc59",1,59
"loc60",1,60
"X1_22988965",1,60.236
"X1_23292064",1,60.984
"loc61",1,61
"X1_23580047",1,61.076
"X1_23857523",1,61.824
"loc62",1,62
"X1_24155803",1,62.477
"loc63",1,63
"X1_24435268",1,63.146
"loc64",1,64
"X1_24765127",1,64.88
"loc65",1,65
"loc66",1,66
"X1_25032697",1,66.846
"loc67",1,67
"X1_25324254",1,67.637
"loc68",1,68
"X1_25609182",1,68.419
"loc69",1,69
"loc70",1,70
"X1_25889912",1,70.447
"loc71",1,71
"X1_26181454",1,71.997
"loc72",1,72
"loc73",1,73
"loc74",1,74
"X1_26760155",1,74.435
"loc75",1,75
"X1_27057077",1,75.399
"loc76",1,76
"X1_27352821",1,76.971
"loc77",1,77
"X1_27626189",1,77.163
"X1_27917735",1,77.86
"loc78",1,78
"X1_28220678",1,78.551
"loc79",1,79
"X1_28509198",1,79.56
"loc80",1,80
"X1_28806377",1,80.38
"X1_29077284",1,80.886
"loc81",1,81
"loc82",1,82
"X1_29384089",1,82.142
"loc83",1,83
"X1_29659444",1,83.088
"X1_30245282",1,83.845
"X2_365473",2,0
"loc1",2,1
"loc2",2,2
"loc3",2,3
"loc4",2,4
"X2_661681",2,4.606
"loc5",2,5
"loc6",2,6
"X2_954162",2,6.33
"loc7",2,7
"loc8",2,8
"X2_1258538",2,8.55
"loc9",2,9
"loc10",2,10
"X2_1532339",2,10.17
"loc11",2,11
"X2_1871886",2,11.4
"loc12",2,12
"X2_2135186",2,12.822
"loc13",2,13
"loc14",2,14
"X2_2433194",2,14.736
"loc15",2,15
"X2_4621443",2,15.107
"X2_5049931",2,15.2
"X2_5295348",2,15.48
"X2_5587569",2,15.761
"loc16",2,16
"loc17",2,17
"X2_5956920",2,17.687
"loc18",2,18
"loc19",2,19
"loc20",2,20
"loc21",2,21
"loc22",2,22
"X2_6764214",2,22.613
"loc23",2,23
"loc24",2,24
"X2_7047117",2,24.312
"loc25",2,25
"X2_7340228",2,25.601
"loc26",2,26
"X2_7626054",2,26.841
"loc27",2,27
"X2_7920385",2,27.893
"loc28",2,28
"loc29",2,29
"X2_8197294",2,29.449
"loc30",2,30
"X2_8502011",2,30.714
"loc31",2,31
"X2_8779839",2,31.706
"X2_9065286",2,31.992
"loc32",2,32
"X2_9367070",2,32.589
"loc33",2,33
"loc34",2,34
"X2_9647248",2,34.308
"loc35",2,35
"X2_9940989",2,35.592
"loc36",2,36
"loc37",2,37
"X2_10225771",2,37.365
"loc38",2,38
"X2_10536215",2,38.247
"loc39",2,39
"X2_10837886",2,39.837
"loc40",2,40
"X2_11106932",2,40.254
"loc41",2,41
"X2_11389340",2,41.761
"loc42",2,42
"X2_11679435",2,42.345
"loc43",2,43
"X2_11966391",2,43.114
"loc44",2,44
"X2_12267422",2,44.28
"loc45",2,45
"loc46",2,46
"X2_12547427",2,46.948
"loc47",2,47
"loc48",2,48
"X2_12838094",2,48.042
"X2_13135793",2,48.734
"loc49",2,49
"X2_13420085",2,49.409
"X2_13716369",2,49.516
"X2_13995766",2,49.704
"loc50",2,50
"X2_14319012",2,50.366
"X2_14575482",2,50.646
"loc51",2,51
"X2_14868193",2,51.02
"loc52",2,52
"X2_15168170",2,52.453
"loc53",2,53
"X2_15447154",2,53.036
"X2_15747054",2,53.415
"loc54",2,54
"X2_16066940",2,54.399
"X2_16319037",2,54.885
"loc55",2,55
"X2_16607410",2,55.269
"loc56",2,56
"X2_16898396",2,56.022
"X2_17185170",2,56.402
"X2_17476046",2,56.779
"X2_17779000",2,56.874
"loc57",2,57
"loc58",2,58
"X2_18063832",2,58.025
"X2_18358707",2,58.313
"X2_18639532",2,58.594
"loc59",2,59
"X2_18932927",2,59.444
"loc60",2,60
"X2_19233555",2,60.487
"X2_19529865",2,60.86
"X3_370926",3,0
"X3_656579",3,0.094
"loc1",3,1
"X3_961179",3,1.032
"X3_1270326",3,1.688
"loc2",3,2
"X3_1525377",3,2.155
"X3_1825965",3,2.533
"X3_2112696",3,2.82
"loc3",3,3
"X3_2398036",3,3.487
"X3_2692472",3,3.96
"loc4",3,4
"X3_2975352",3,4.523
"loc5",3,5
"X3_3269092",3,5.092
"loc6",3,6
"X3_3565378",3,6.349
"loc7",3,7
"X3_4141096",3,7.208
"X3_4427835",3,7.313
"loc8",3,8
"X3_4718296",3,8.176
"loc9",3,9
"X3_5295658",3,9.637
"loc10",3,10
"X3_5619526",3,10.681
"loc11",3,11
"X3_5875889",3,11.184
"X3_6175656",3,11.853
"loc12",3,12
"X3_6457498",3,12.641
"loc13",3,13
"X3_6749190",3,13.533
"loc14",3,14
"X3_7051377",3,14.728
"loc15",3,15
"X3_7329844",3,15.618
"loc16",3,16
"X3_7628106",3,16.51
"loc17",3,17
"loc18",3,18
"X3_7914025",3,18.033
"loc19",3,19
"X3_8200995",3,19.705
"loc20",3,20
"loc21",3,21
"loc22",3,22
"X3_8497891",3,22.343
"loc23",3,23
"X3_8776721",3,23.319
"loc24",3,24
"loc25",3,25
"X3_9139270",3,25.381
"loc26",3,26
"loc27",3,27
"loc28",3,28
"X3_9654017",3,28.021
"loc29",3,29
"X3_9940341",3,29.512
"loc30",3,30
"loc31",3,31
"X3_10234401",3,31.527
"loc32",3,32
"X3_10587664",3,32.697
"loc33",3,33
"loc34",3,34
"loc35",3,35
"loc36",3,36
"loc37",3,37
"X3_11114247",3,37.858
"loc38",3,38
"loc39",3,39
"X3_11399488",3,39.55
"loc40",3,40
"X3_11747164",3,40.641
"loc41",3,41
"X3_12041893",3,41.121
"X3_14322230",3,41.309
"X3_15210147",3,41.402
"loc42",3,42
"X3_15514979",3,42.553
"loc43",3,43
"X3_15759118",3,43.813
"loc44",3,44
"X3_16058567",3,44.974
"loc45",3,45
"X3_16362290",3,45.949
"loc46",3,46
"loc47",3,47
"loc48",3,48
"loc49",3,49
"X3_16648133",3,49.119
"loc50",3,50
"X3_16899341",3,50.183
"loc51",3,51
"X3_17225206",3,51.952
"loc52",3,52
"loc53",3,53
"X3_17486181",3,53.323
"loc54",3,54
"X3_17781386",3,54.095
"X3_18077874",3,54.672
"loc55",3,55
"X3_18350962",3,55.367
"loc56",3,56
"loc57",3,57
"X3_18651512",3,57.064
"loc58",3,58
"X3_18955604",3,58.618
"loc59",3,59
"X3_19220884",3,59.188
"loc60",3,60
"X3_19514107",3,60.383
"loc61",3,61
"X3_19799867",3,61.53
"loc62",3,62
"loc63",3,63
"X3_20092191",3,63.124
"X3_20401811",3,63.604
"loc64",3,64
"X3_20665136",3,64.18
"X3_20960795",3,64.928
"loc65",3,65
"X3_21258480",3,65.487
"X3_21558962",3,65.858
"loc66",3,66
"X3_21840004",3,66.606
"X3_22144650",3,66.791
"loc67",3,67
"X3_22441322",3,67.54
"loc68",3,68
"X3_22704870",3,68.386
"loc69",3,69
"X3_22986945",3,69.618
"loc70",3,70
"X3_23275556",3,70.466
"X4_384888",4,0
"loc1",4,1
"loc2",4,2
"X4_680041",4,2.329
"loc3",4,3
"loc4",4,4
"loc5",4,5
"loc6",4,6
"X4_982791",4,6.129
"loc7",4,7
"X4_1238231",4,7.648
"loc8",4,8
"X4_1535171",4,8.975
"loc9",4,9
"X4_2717267",4,9.255
"loc10",4,10
"loc11",4,11
"loc12",4,12
"X4_2396469",4,12.891
"loc13",4,13
"loc14",4,14
"X4_2133635",4,14.399
"loc15",4,15
"X4_1828832",4,15.265
"X4_3900172",4,15.674
"X4_5080132",4,15.767
"loc16",4,16
"loc17",4,17
"loc18",4,18
"X4_5587712",4,18.335
"loc19",4,19
"X4_5924099",4,19.776
"loc20",4,20
"X4_6171429",4,20.73
"loc21",4,21
"loc22",4,22
"loc23",4,23
"loc24",4,24
"X4_6498644",4,24.028
"loc25",4,25
"X4_6754691",4,25.332
"loc26",4,26
"X4_7042854",4,26.733
"loc27",4,27
"X4_7346579",4,27.984
"loc28",4,28
"loc29",4,29
"X4_7616384",4,29.948
"loc30",4,30
"loc31",4,31
"X4_7918274",4,31.047
"loc32",4,32
"X4_8211444",4,32.149
"loc33",4,33
"X4_8498174",4,33.418
"loc34",4,34
"X4_8815569",4,34.491
"loc35",4,35
"X4_9140013",4,35.766
"loc36",4,36
"loc37",4,37
"X4_9650672",4,37.38
"loc38",4,38
"loc39",4,39
"X4_9942702",4,39.077
"loc40",4,40
"loc41",4,41
"X4_10236673",4,41.05
"loc42",4,42
"X4_10522219",4,42.292
"loc43",4,43
"X4_10831675",4,43.507
"loc44",4,44
"X4_11157390",4,44.312
"loc45",4,45
"loc46",4,46
"X4_11714851",4,46.649
"loc47",4,47
"loc48",4,48
"X4_12292822",4,48.883
"loc49",4,49
"loc50",4,50
"X4_12547100",4,50.004
"X4_12843072",4,50.195
"X4_13151997",4,50.574
"loc51",4,51
"X4_13421012",4,51.142
"X4_13720933",4,51.331
"X4_14008832",4,51.993
"loc52",4,52
"X4_14292115",4,52.369
"X4_14584632",4,52.847
"loc53",4,53
"X4_14869919",4,53.543
"X4_15162178",4,53.935
"loc54",4,54
"X4_15450267",4,54.131
"X4_15735751",4,54.523
"loc55",4,55
"X4_16026122",4,55.222
"X4_16337059",4,55.523
"X4_16606958",4,55.916
"loc56",4,56
"X4_16902140",4,56.299
"X4_17202249",4,56.593
"loc57",4,57
"X4_17486207",4,57.696
"loc58",4,58
"loc59",4,59
"X4_17796648",4,59.526
"loc60",4,60
"X4_18063371",4,60.435
"X4_18347312",4,60.721
"X5_367158",5,0
"loc1",5,1
"X5_655985",5,1.428
"loc2",5,2
"X5_949897",5,2.63
"loc3",5,3
"X5_1245151",5,3.939
"loc4",5,4
"X5_1528949",5,4.594
"X5_1839919",5,4.913
"loc5",5,5
"X5_2111365",5,5.695
"loc6",5,6
"X5_2408921",5,6.678
"loc7",5,7
"X5_2685965",5,7.459
"X5_2985496",5,7.652
"loc8",5,8
"X5_3270887",5,8.525
"loc9",5,9
"X5_3570430",5,9.384
"loc10",5,10
"X5_3852246",5,10.048
"X5_4136470",5,10.434
"X5_4426649",5,10.717
"X5_4726262",5,10.811
"loc11",5,11
"X5_5013068",5,11.39
"X5_5336868",5,11.972
"loc12",5,12
"loc13",5,13
"X5_5656316",5,13.126
"X5_5889105",5,13.602
"loc14",5,14
"X5_6473301",5,14.471
"X5_6752582",5,14.668
"X5_7071294",5,14.963
"loc15",5,15
"X5_7334179",5,15.919
"loc16",5,16
"X5_7618492",5,16.811
"loc17",5,17
"loc18",5,18
"X5_7914975",5,18.508
"loc19",5,19
"loc20",5,20
"X5_8232952",5,20.419
"loc21",5,21
"X5_8569949",5,21.967
"loc22",5,22
"loc23",5,23
"loc24",5,24
"loc25",5,25
"loc26",5,26
"loc27",5,27
"X5_9080100",5,27.139
"loc28",5,28
"X5_9376062",5,28.533
"loc29",5,29
"X5_9669100",5,29.833
"loc30",5,30
"loc31",5,31
"loc32",5,32
"X5_9969215",5,32.507
"loc33",5,33
"loc34",5,34
"X5_10233797",5,34.144
"loc35",5,35
"loc36",5,36
"X5_10639041",5,36.082
"X5_10929784",5,36.645
"X5_12552624",5,36.738
"loc37",5,37
"X5_13106228",5,37.016
"loc38",5,38
"X5_13707451",5,38.26
"loc39",5,39
"loc40",5,40
"X5_14015641",5,40.107
"loc41",5,41
"X5_14545953",5,41.4
"loc42",5,42
"loc43",5,43
"X5_14876427",5,43.043
"loc44",5,44
"X5_15185072",5,44.949
"loc45",5,45
"loc46",5,46
"X5_15464485",5,46.891
"loc47",5,47
"loc48",5,48
"X5_15768401",5,48.063
"loc49",5,49
"X5_16043932",5,49.947
"loc50",5,50
"X5_16326685",5,50.244
"X5_17196046",5,50.45
"X5_17503065",5,50.962
"loc51",5,51
"X5_17787766",5,51.576
"loc52",5,52
"X5_18072654",5,52.441
"loc53",5,53
"X5_18382907",5,53.407
"loc54",5,54
"X5_18640297",5,54.267
"X5_18926019",5,54.836
"loc55",5,55
"loc56",5,56
"X5_19227434",5,56.611
"loc57",5,57
"X5_19550188",5,57.476
"X5_19797944",5,57.664
"loc58",5,58
"X5_20095240",5,58.578
"loc59",5,59
"X5_20390151",5,59.597
"loc60",5,60
"X5_20671010",5,60.101
"X5_20961565",5,60.596
"loc61",5,61
"X5_21249178",5,61.278
"loc62",5,62
"X5_21548963",5,62.603
"loc63",5,63
"loc64",5,64
"X5_21864028",5,64.099
"X5_22116026",5,64.62
"loc65",5,65
"loc66",5,66
"X5_22406706",5,66.055
"X5_22711593",5,66.456
"loc67",5,67
"X5_23006666",5,67.732
"loc68",5,68
"X5_23277096",5,68.693
"loc69",5,69
"X5_23580206",5,69.359
"loc70",5,70
"X5_23870630",5,70.123
"X5_24172305",5,70.596
"X5_24444383",5,70.983
"loc71",5,71
"X5_24725353",5,71.373
"loc72",5,72
"X5_25017566",5,72.063
"X5_25350635",5,72.931
"loc73",5,73
"X5_25599724",5,73.61
"loc74",5,74
"X5_25889576",5,74.474
"loc75",5,75
"X5_26180944",5,75.802
"loc76",5,76
"loc77",5,77
"X5_26468215",5,77.422
"loc78",5,78
"X5_26757861",5,78.174
